?c	?label	?d
<http://purl.obolibrary.org/obo/UBERON_2000116>	"macula lagena"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005245>	"inter-parietal joint"^^<http://www.w3.org/2001/XMLSchema#string>	"Fibrous joint connecting the parietal bones."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000505>	"processus pterygoideus of maxilla"^^<http://www.w3.org/2001/XMLSchema#string>	"Posterior end of the pars palatina of the maxilla that is in contact with the anterior ramus of the pterygoid."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200039>	"supraacetabular buttress"@en	"A boney protuberance dorsal to the acetabulum on the ilium, confluent with the supraacetabular crest (when present). Acts as a bone brace to prevent excessive femoral abduction and the origin site for part of the M. iliofemoralis."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010558>	"quadrato-ethmoid ligament"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002085>	"ural centrum"^^<http://www.w3.org/2001/XMLSchema#string>	"A vertebral centrum that is posterior to preural vertebra 1 and consequently the most posterior vertebral centra. Ural centrum is a unpaired median bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002166>	"pseudourostyle"^^<http://www.w3.org/2001/XMLSchema#string>	"An elongate lateral process ventrally placed to the proximal region of the pleurostyle. The pseudourostyle is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001859>	"pharyngobranchial 1 tooth plate"^^<http://www.w3.org/2001/XMLSchema#string>	"Pharyngeal tooth plate that lies ventral to pharyngobranchial 1 bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005151>	"gold iridophore"^^<http://www.w3.org/2001/XMLSchema#string>	"Iridescent iridophore containing gold reflecting platelets."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4000045>	"obsolete preosteoblast"^^<http://www.w3.org/2001/XMLSchema#string>	"Skeletogenic cell that has the potential to transform into an osteoblast, and develops from neural crest or mesodermal cells."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000751>	"epaxial region somite 8"^^<http://www.w3.org/2001/XMLSchema#string>	"Somite-derived body wall muscle present dorsal to the horizontal myoseptum. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000784>	"ulnar condyle"^^<http://www.w3.org/2001/XMLSchema#string>	"Semi-elliptical ball located at the lower end of the humerus, adjacent to the humeral ball."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000520>	"horizontal commissure"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010691>	"m. opercularis"^^<http://www.w3.org/2001/XMLSchema#string>	"Muscle which arises from the dorsal m. levator scapulae and extends between the operculum and suprascapula."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001798>	"epicentral"^^<http://www.w3.org/2001/XMLSchema#string>	"Intermuscular bone that articulates with the vertebral centrum."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000503>	"dorsal oblique branchial muscle"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001930>	"accessory vomerine tooth plate"^^<http://www.w3.org/2001/XMLSchema#string>	"Dermal bone that is located lateral to vomer off midline of palate. Accessory vomerine tooth plate bears teeth and may be present as one or more pairs."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000223>	"infraorbital 1"^^<http://www.w3.org/2001/XMLSchema#string>	"Infraorbital that is the first (anteriormost) bone of the infraorbital series."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000660>	"margo choanalis"^^<http://www.w3.org/2001/XMLSchema#string>	"Margin between the prechoanal and postchoanal process. It bounds the fenestra endochoanalis."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001168>	"vertebral element 2"	"Vertebra that is posteriorly adjacent to vertebra 1."
<http://purl.obolibrary.org/obo/UBERON_3010827>	"anterior prenasal cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002116>	"epibranchial organ"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000971>	"slow muscle cell somite 29"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000250>	"opercle"^^<http://www.w3.org/2001/XMLSchema#string>	"Dermal bone that forms the postero-dorsal part of the opercular series. The opercle articulates with the hyomandibula antero-dorsally and with the subopercle ventrally. The opercle is a paired bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001129>	"pharyngeal pouches 2-6"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001693>	"protractor operculi"^^<http://www.w3.org/2001/XMLSchema#string>	"Muscle located in the lateral region of the cheek, linking the lateral surface of opercle with the posterolateral margin of the suspensorium (usually the preopercle)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200007>	"transverse pelvic ridge"@en	"The transverse pelvic ridge is a short crest directly anterior to, and not extending posterior to, the prominent supra-acetabular buttress  from Pawley and Warren 2006."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000739>	"epaxial region somite 11"^^<http://www.w3.org/2001/XMLSchema#string>	"Somite-derived body wall muscle present dorsal to the horizontal myoseptum. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010717>	"diverticulum"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005122>	"dorsal axial hypoblast"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2007013>	"preplacodal ectoderm"^^<http://www.w3.org/2001/XMLSchema#string>	"Non neural ectoderm that surrounds the presumptive neural plate and gives rise to neurogenic placodes."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010031>	"ventral glands"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010089>	"M. extensor cruris brevis"^^<http://www.w3.org/2001/XMLSchema#string>	"Originates by a slender tendon from the ventral surface of the medial condyle of the femur and passes over the knee to insert as a fleshy belly on the ventro-lateral surface of the tibiofibula."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001589>	"propterygium"^^<http://www.w3.org/2001/XMLSchema#string>	"The propterygium is the lateralmost or anteriormost basal cartilage that originates from the pectoral fin endoskeletal disc. The bases of the pectoral lepidotrichium 1 plus the propterygium articulates with the scapula."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010006>	"dorsal skin texture"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002163>	"ural vertebra 1"^^<http://www.w3.org/2001/XMLSchema#string>	"Ural vertebra that is located directly posterior to preural centrum 1. It may bear a rudimentary neural arch and sometimes a rudimentary spine or the neural arch and spine are completely absent and it may articulate or fuse with hypural 1 (polyural terminology). Ural vertebra 1 is an unpaired median bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000886>	"fast muscle cell somite 9"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/uberon/phenoscape-anatomy#PLURAL>	"plural term"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000927>	"myotome somite 16"^^<http://www.w3.org/2001/XMLSchema#string>	"Portion of the somite giving rise to body wall muscle masses. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001541>	"pelvic radial 2 cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	"Small cartilage with a long posterior process and a shorter lateral one that forms at the posterior edge of the basipterygium, between radial cartilages 1 and 2."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000499>	"dorsal arrector"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002079>	"leptocephalous larva"^^<http://www.w3.org/2001/XMLSchema#string>	"Larval stage in some teleosts before metomorphosis."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001807>	"preepiotic fossa"^^<http://www.w3.org/2001/XMLSchema#string>	"Fossa that is a concavity on the dorsolateral surface of the skull roof found at least partially on the epiotic (epioccipital)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001921>	"adipose eyelid"^^<http://www.w3.org/2001/XMLSchema#string>	"Surface structure that is a fleshy membrane covering part of the eye."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000652>	"fossa maxillaris"^^<http://www.w3.org/2001/XMLSchema#string>	"Depression lacated on the inner surface of the maxilla between the palatine process and the pars palatina."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010746>	"T-shaped terminal phalanx"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001996>	"maxillary canal"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001157>	"posterior lateral line primordium"^^<http://www.w3.org/2001/XMLSchema#string>	"A migrating group of cells originating from the posterior lateral line placode. The primordium deposits seven to nine neuromasts and interneuromasts between them during its posterior migration to the tail. Gompel et al, 2001."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001936>	"posterior nasal barbel"^^<http://www.w3.org/2001/XMLSchema#string>	"Barbel that is attached to the anterior rim of the posterior nostril. Posterior nasal barbel is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005192>	"RoI2C"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3011122>	"obsolete late proximal tubule"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010289>	"obsolete follicle cell"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005224>	"yolk larval melanophore stripe"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2007060>	"dorsolateral field"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001245>	"epibranchial 4 bone"^^<http://www.w3.org/2001/XMLSchema#string>	"Epibranchial bone that is bilaterally paired and articulates laterally with ceratobranchial 4 cartilage or bone and medially with pharyngobranchial cartilage or bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000167>	"obsolete anal fin skeleton"^^<http://www.w3.org/2001/XMLSchema#string>	"Median fin skeleton that is located posterior to the anus."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005188>	"MiR1"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001696>	"gongyloid cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	"Pharyngeal arch cartilage present on the dorsal surface of the middle portion of the upper branchial arches, dorsal to the point of contact between the second and third infrapharyngobranchials. It is round or cylyndrical in shape. Not homologous to the mediopharyngobranchial."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001188>	"Weberian apparatus"^^<http://www.w3.org/2001/XMLSchema#string>	"Anatomical cluster that consists of the anteriormost vertebrae and associated structures that connect the swim bladder to the inner ear."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000957>	"hypaxial region somite 19"^^<http://www.w3.org/2001/XMLSchema#string>	"Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000274>	"rostral octaval nerve sensory nucleus"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001775>	"anal fin lepidotrichium 7"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010109>	"anteroventral lateral line nerve (AVLLN)"^^<http://www.w3.org/2001/XMLSchema#string>	"Sensory nerve of the anterior lateral line component. It develops from preotic anteroventral placode. AVLLN innervates lower jaw lines of neuromasts."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000730>	"foramen nutritium"^^<http://www.w3.org/2001/XMLSchema#string>	"Opening on the lateral side of the vertebra for the passage of blood vessels."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010090>	"M. tibialis anticus brevis"^^<http://www.w3.org/2001/XMLSchema#string>	"Originates from the dorso-lateral surface of the tibiofibula and inserts on the proximo-medial surface of the tibiale dorsal to the medial head of M. tibialis anticus longus."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010326>	"blastocoel anlage"^^<http://www.w3.org/2001/XMLSchema#string>	"The first appearance of the antomical space that will become the blastocoel."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001050>	"slow muscle cell somite 19"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001767>	"pectoral fin lepidotrichium 7"^^<http://www.w3.org/2001/XMLSchema#string>	"Pectoral fin lepidotrichium that, in a linear sequence, is the seventh most anterior pectoral ray that it is usually branched and segmented."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000558>	"posterior macula"^^<http://www.w3.org/2001/XMLSchema#string>	"Patches of thickened, pseudostratified epithelium of the inner ear, consisting of regular arrays of sensory hair cells interspersed with supporting cells. Each patch has its own charcteristic shape and polarity pattern. (See Anatomical Atlas entry for sensory patches of the ear by T. Whitfield.)"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000287>	"superior dorsal flexor"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000068>	"proneural cluster"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000432>	"pila metoptica"^^<http://www.w3.org/2001/XMLSchema#string>	"A strut of cartilage  extending dorsally from the basal plate and with other similar cartilages forming the sides of the brain case. The pila metoptica is anterior to pila antoptica together with which it may enclose the foramen for the ocular motor nerve and opthalmica magna artery. Anterior to the pila antoptica is the pila preoptica (another pillar of cartilage) between these two cartilages emerges the optic and trochlear nerves."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001937>	"anterior nasal barbel"^^<http://www.w3.org/2001/XMLSchema#string>	"Barbel that is associated with the anterior nostril. Anterior nasal barbel is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000455>	"ventral flexor"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000862>	"obsolete caudal fin skeleton"^^<http://www.w3.org/2001/XMLSchema#string>	"Median fin skeleton supporting the caudal fin."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001702>	"infraorbital 7"^^<http://www.w3.org/2001/XMLSchema#string>	"Infraorbital that is the seventh bone of the infraorbital series."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002084>	"pleurostyle"^^<http://www.w3.org/2001/XMLSchema#string>	"Postero-dorsal process of preural vertebra 1 or postero-dorsal process of the compound terminal centrum. The pleurostyle is a paired membrane bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000384>	"levator arcus palatini"^^<http://www.w3.org/2001/XMLSchema#string>	"Jaw muscle that connects the sphenotic to the metapterygoid and hyomandibula and promotes the elevation/abduction of the suspensorium."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000811>	"glenoid end of clavicle"^^<http://www.w3.org/2001/XMLSchema#string>	"Lateral end of the clavicle, which usually lies in close proximity to the pars acromialis of the scapula, and occassionally may fuse to it."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000982>	"somite 6"^^<http://www.w3.org/2001/XMLSchema#string>	"Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001237>	"ceratobranchial 1 bone"^^<http://www.w3.org/2001/XMLSchema#string>	"Ceratobranchial bone that is bilaterally paired and articulates laterally with epibranchial 1 cartilage or bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4000167>	"caudal fin skeleton"^^<http://www.w3.org/2001/XMLSchema#string>	"Median fin skeleton supporting the caudal fin."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001036>	"sclerotome somite 10"^^<http://www.w3.org/2001/XMLSchema#string>	"Medial ventral region of the somite that will form vertebral cartilages. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002074>	"external anterior process of basipterygium"^^<http://www.w3.org/2001/XMLSchema#string>	"Process that is bony and arises from anterolateral corner of basipterygium and projects anteriorly or anteromedially."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001817>	"middle nuchal plate"^^<http://www.w3.org/2001/XMLSchema#string>	"Nuchal plate that is unpaired and part of dorsal fin proximal radial 1 and usually in contact with the anterior nuchal plate and paired posterior nuchal plates."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000512>	"processus zygomatico-maxillaris"^^<http://www.w3.org/2001/XMLSchema#string>	"Posterodorsal extension of the maxilla by which it establishes contact with the squamosal."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000806>	"carina medialis"^^<http://www.w3.org/2001/XMLSchema#string>	"In a zygapophysis that has ridges and sulci, the medial ridge."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005385>	"dorsal fin proximal radial 8"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002132>	"hypural 7"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005012>	"afferent filamental artery"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010587>	"hyoid arch neural crest"^^<http://www.w3.org/2001/XMLSchema#string>	"Population of cranial neural crest that give rise to hyoid arch elements."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001766>	"pectoral fin lepidotrichium 6"^^<http://www.w3.org/2001/XMLSchema#string>	"Pectoral fin lepidotrichium that, in a linear sequence, is the sixth most anterior pectoral ray that it is usually branched and segmented."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000205>	"external ventral flexor"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000628>	"ventral ramus of squamosal"^^<http://www.w3.org/2001/XMLSchema#string>	"Longest of the three squamosal rami; it invests the dorsolateral margin of the palatoquadrate. The distal end of the ventral ramus invests the quadrate and articulates with the quadratojugal."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001760>	"dorsal fin lepidotrichium 7"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002225>	"posterior pronephric duct"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000446>	"posterior condyle"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010392>	"mesonephric early proximal tubule"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010500>	"gastrico-linealis"^^<http://www.w3.org/2001/XMLSchema#string>	"Major branch which supplies blood to the spleen and dorsal wall of the stomach."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001313>	"ventral anterior lateral line ganglion"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002018>	"anterior limb of ceratobranchial 5 cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	"Process that is the anterior and medially directed portion of ceratobranchial 5 cartilage."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005339>	"nucleus of the lateral recess"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010759>	"ramus buccal"^^<http://www.w3.org/2001/XMLSchema#string>	"Ventral ramus of the ADLLN that innervates the infraorbital line of neuromasts."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005181>	"VaP motor neuron"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000838>	"fast muscle cell somite 29"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010557>	"triangular process"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000157>	"somite 30"^^<http://www.w3.org/2001/XMLSchema#string>	"Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000846>	"element Y of fore mesopodium"^^<http://www.w3.org/2001/XMLSchema#string>	"Oval carpal element that is located on the anteromedial side of the radiale and the anterolateral side of the ulnare. Anteriorly, it articulates with carpals 1 through 4 (or 2 through 5 according to some authors). It is also recognized as centrale by some authors. This element originates from one, two, or three condensation centers. Occasionally it may fuse to carpal 2(1), carpal 3(2), the ulnare, or other elements."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000931>	"intercalary element of hind digit"^^<http://www.w3.org/2001/XMLSchema#string>	"Small elements present in all digits of the pes, when present in a taxon. Each intercalary element articulates with the anteroventral end of the penultimate phalanx proximally and the distal phalanx distally."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010745>	"M. coccygeosacralis"^^<http://www.w3.org/2001/XMLSchema#string>	"Originates on the lateral surface of the urostyle and inserts on the neural arch of the sacrum or on the sacral diapophysis."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000663>	"parahyoid"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000718>	"epaxial region somite 27"^^<http://www.w3.org/2001/XMLSchema#string>	"Somite-derived body wall muscle present dorsal to the horizontal myoseptum. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000685>	"foramen nervi hypoglossi"^^<http://www.w3.org/2001/XMLSchema#string>	"Foramen that houses the hypoglossus nerve and is located between the anterolateral process and the proximal part of the hyale."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001684>	"ossified transcapular ligament"^^<http://www.w3.org/2001/XMLSchema#string>	"Membrane bone that is fused to supracleithrum and is jointed to basioccipital and exoccipital."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000043>	"muscle pioneer somite 1"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000780>	"incisura coracoidea"^^<http://www.w3.org/2001/XMLSchema#string>	"Notch that separates the cartilaginous regions of the procoracoid and coracoid."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010665>	"ramule palatinus"^^<http://www.w3.org/2001/XMLSchema#string>	"Ramules that descends towards the buccal roof and give rise to several short branches that anastomose with palatine ramus of the facial nerve."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001404>	"preethmoid bone"^^<http://www.w3.org/2001/XMLSchema#string>	"Small rounded to egg-shaped cartilage bone that sits in an anterolateral depression on the prevomer. Articulates with the autopalatine in all cypriniforms."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/uberon/phenoscape-anatomy#InChI>	"InChI"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010628>	"dorsal ramus of occulomotor nerve"^^<http://www.w3.org/2001/XMLSchema#string>	"Innervates m. rectus superior (m. dorsal rectus)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002059>	"posttemporal-parietal joint"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000036>	"basal process of palatoquadrate"^^<http://www.w3.org/2001/XMLSchema#string>	"Process that extends medially from the ventromedial corner of the palatoquadrate cartilage and articulates or fuses to the anterior wall of the otic capsule via the basitrabecular process."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000518>	"pseudodentary"^^<http://www.w3.org/2001/XMLSchema#string>	"Compound bone of adult Gymnophiona, consisting of dentary, coronoid and mentomeckelian."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000943>	"pseudofirmisternal girdle"^^<http://www.w3.org/2001/XMLSchema#string>	"Modified arciferal pectoral girdle in which the fusion of the epicoracoid cartilages in the interclavicle region is extended posteriorly. Thus, the cartilages no longer overlap freely, and functionally a partially firmisternal condition is created."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010394>	"mesonephric late proximal tubule"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000734>	"preural vertebra"^^<http://www.w3.org/2001/XMLSchema#string>	"Caudal vertebra that is one of the last caudal vertebrae anterior to the ural vertebrae that with its neural and haemal spines supports the procurrent caudal fin rays or lepidotrichia. The numbering of preural vertebrae is from caudal to rostral direction."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010541>	"median pars intermedia"^^<http://www.w3.org/2001/XMLSchema#string>	"Region of the adenohypophysis which secretes melanophore-stimulating hormone, affecting the integumentary chromatophores."^^<http://www.w3.org/2001/XMLSchema#string>
